tick,x,y,robot_id,team
1,0.00000,0.00000,-1,-1
1,-1.49997,1.12000,0,0
1,-1.49997,0.00000,1,0
1,-1.49997,-1.12000,2,0
1,1.49997,-0.00000,1,1
1,1.49997,-1.12000,2,1
1,1.49997,1.12000,0,1
2,0.00000,0.00000,-1,-1
2,-1.49997,1.12000,0,0
2,-1.49997,0.00000,1,0
2,-1.49997,-1.12000,2,0
2,1.49997,-0.00000,1,1
2,1.49997,-1.12000,2,1
2,1.49997,1.12000,0,1
3,0.00000,0.00000,-1,-1
3,-1.49997,1.12000,0,0
3,-1.49997,0.00000,1,0
3,-1.49997,-1.12000,2,0
3,1.49997,-0.00000,1,1
3,1.49997,-1.12000,2,1
3,1.49963,1.11979,0,1
4,0.00000,0.00000,-1,-1
4,-1.49997,1.12000,0,0
4,-1.49997,-0.00000,1,0
4,-1.49997,-1.12000,2,0
4,1.49997,-0.00000,1,1
4,1.49997,-1.12000,2,1
4,1.49828,1.11926,0,1
5,0.00000,0.00000,-1,-1
5,-1.49997,1.12000,0,0
5,-1.49911,0.00000,1,0
5,-1.49997,-1.12000,2,0
5,1.49997,-0.00000,1,1
5,1.49997,-1.12000,2,1
5,1.49583,1.11838,0,1
6,0.00000,0.00000,-1,-1
6,-1.49916,1.11991,0,0
6,-1.49711,-0.00016,1,0
6,-1.49997,-1.12000,2,0
6,1.49997,-0.00000,1,1
6,1.49997,-1.12000,2,1
6,1.49374,1.11761,0,1
7,0.00000,0.00000,-1,-1
7,-1.49804,1.11983,0,0
7,-1.49592,-0.00040,1,0
7,-1.49997,-1.12000,2,0
7,1.49997,-0.00000,1,1
7,1.49997,-1.12000,2,1
7,1.49116,1.11655,0,1
8,0.00000,0.00000,-1,-1
8,-1.49638,1.11962,0,0
8,-1.49458,-0.00065,1,0
8,-1.49997,-1.12000,2,0
8,1.49997,-0.00000,1,1
8,1.49997,-1.12000,2,1
8,1.48763,1.11510,0,1
9,0.00000,0.00000,-1,-1
9,-1.49370,1.11938,0,0
9,-1.49198,-0.00093,1,0
9,-1.49997,-1.12000,2,0
9,1.49997,-0.00000,1,1
9,1.49997,-1.12000,2,1
9,1.48331,1.11301,0,1
10,0.00000,0.00000,-1,-1
10,-1.49019,1.11900,0,0
10,-1.48840,-0.00126,1,0
10,-1.49997,-1.12000,2,0
10,1.49997,-0.00000,1,1
10,1.49997,-1.12000,2,1
10,1.47824,1.11029,0,1
11,0.00000,0.00000,-1,-1
11,-1.48565,1.11856,0,0
11,-1.48371,-0.00173,1,0
11,-1.49997,-1.12000,2,0
11,1.49997,-0.00000,1,1
11,1.49997,-1.12000,2,1
11,1.47229,1.10708,0,1
12,0.00000,0.00000,-1,-1
12,-1.48023,1.11806,0,0
12,-1.47802,-0.00229,1,0
12,-1.49997,-1.12000,2,0
12,1.49997,-0.00000,1,1
12,1.49997,-1.12000,2,1
12,1.46542,1.10347,0,1
13,0.00000,0.00000,-1,-1
13,-1.47380,1.11755,0,0
13,-1.47124,-0.00305,1,0
13,-1.49997,-1.12000,2,0
13,1.49997,-0.00000,1,1
13,1.49997,-1.12000,2,1
13,1.45761,1.09947,0,1
14,0.00000,0.00000,-1,-1
14,-1.46641,1.11705,0,0
14,-1.46344,-0.00391,1,0
14,-1.49997,-1.12000,2,0
14,1.49997,-0.00000,1,1
14,1.49997,-1.12000,2,1
14,1.44886,1.09506,0,1
15,0.00000,0.00000,-1,-1
15,-1.45803,1.11657,0,0
15,-1.45456,-0.00492,1,0
15,-1.49997,-1.12000,2,0
15,1.49997,-0.00000,1,1
15,1.49997,-1.12000,2,1
15,1.43916,1.09025,0,1
16,0.00000,0.00000,-1,-1
16,-1.44867,1.11610,0,0
16,-1.44464,-0.00600,1,0
